nome;seguidores;tweets;seguindo;curtidas;hashtags
Frente BrasilPopular;9677;2833;157;272;#EuSouLula #LulaValeALuta #LulavaleaLuta #FrenteContraOFascismo #LulaLivre #Cuba #Globogolpista #DemocratizeJá #AtentadoContraADemocracia #CongressodoPovo #OcupaCuritiba #OBrasilVenceráoÓdio #lulalivre #CampanhaLulaLivre #GloboGolpista #Lulalivre #Timão #LULALIVRE #EusouLula #LulaLibre #LulaPeloSul #JamaisAprisionarãoNossosSonhos #OcupaSaoBernardo #FreedomforLula #aovivo #CUTsp
🗣POVO sem MEDO🚶;3336;3369;450;3626;#EuSouLula #lulavalealuta #MariellePresente #BeloHorizonte #LulaValeALuta #BrasildeFato #Frentecontraofascismo #ManuAoVivo #LULAvaleaLUTA #DilmaSenadora #lula #OcupaSaoBernado #Lula #LulaValeaLuta #globonews #ManuNaTVT #FuerzaLula #MeuAmigoSecreto #ForaDilma #LulaValeLaLucha #Timeline #LulaPeloBrasil #OcupaCuritibaDia05 #OPovoQuerLulaLivre #OcupaTudo #AoVivo #LulaVive #MTST #eusoulula #LulapeloSul #AtentadoContraLULA #VotouContraOPovoNaoVolta #OcupaTriplex #JamaisAprisionaraoNossosSonhos #EnMarcha #ResisteLULA #AtentadoContra #FrenteContraOFascismo #Siria #Frente #povosemmedo #Uruguai #LulaPresoPolitico #AtentadocontraLula #NaoConfioEm #Francia #LulapeloParana #DemocratizeJá #RETIRAPL621JÁ #ResisteLula #EEUU #OcupaCuritiba #AOVIVO #Lisboa #AndersonPRESEN #MexeuComLulaMexeuComigo #Lulavalealuta #atentadoContraADemocracia #Forza #Mariellepresente #LulaLibre #LulaPeloSul #OcupaSaoBernardo #DigaNaoAoPato #AtentadoContraAdemocracia #OcupaCuritibaDia03 #SomosMilhõesDeLulas #AsedioEnSiria #JN #liberélula #OcupaCuritibaDia04 #FakeNews #frentebrasilpopular #LulaValeALula #JamaisAprisionaraoNossoSonhos #Sextou #PodemosAnularOGolpe #Golpe2016 #ocupasaobernardo #CostaRica #AtentadoContraADemocracia #AméricaLatina #BrasilUrgente #AtentadoContraLula #OcupemSãoBernardo #LULAPELOSUL #emoção #BrasilLivre #MariellePRESENTE #lulalivre #InjustiçaNÃO #Brasil #LulaCandidato #GloboGolpista #DiretasJá #EusouLula #LulaInocente #N3305Abr #PovoSemMedo #TodosSomosLula #1deabril #OTAN #DiadaMentira #LulaNobelDaPaz #OCUPASãoBernardo #lulafree #OcupaRedeGlobo #LulaLivreJá #MarisaLeticiaVive #Bandnewsfm #LulaLivre #LulaLive #JG #OcupemSaoBernardo #FrenteContraoFascismo #Resistiremos #vamos #lula2018 #asVoltasDaHistória #Rusia #DeixaElaTrabalhar #OBrasilVenceráoÓdio #Lulalivre #Festival #LULAVALEALUTA #OcupaBrasilia #VemPraRua3deAbril #MarielleVive #CafezinhoDaNoite #TimeLife #JejumdoDD #eqp #VIDEO #OcupaSãoBernardo #aovivo #Campinas #atentadocontraademocracia #LulaPresidente #AsedioASiria
Ocupapolitica;13;0;1;0;
Movimento Agora!;2157;586;137;346;#Cidades #GeorgeOrwell #CidadesMaisHumanas #EducaçãoAgora #Paulista #DireitosIguais #DicaDeLeitura #ContraDesigualdades #DiaMundialdaAgua #Mobilização #AgoranosEUA #AgoraEscuta #Participe #Renovar #BrazilConference #Comente #Pesquisa #RIPStephenHawking #Assista #Compareça #Coragem #Educacao #AgoraEscutaRJ #IgualdadeAgora #PraResolverAgora #AgoraPeloMundo #Dialogar #Educação #Vem #Agora #Humanas #Curta #FraseDaSemana #MulheresNaPolítica #brazilconference #AcaoQueTransforma #SemanasTemáticasAgora #tbt #SemanaDaEducação #educacaonaveia #AVerdade #Otimismo #FimDaImpunidade #Compartilhe #Conheça #SemanaDeEducação #NossosMembros #SaúdeAgora #PorDentro #PraResoverAgora #Cultura #DireitosHumanosAgora #Política #Leia #AgoraEscutaEUA #Liberdade #AGORAnosEUA #AoVivo #Parceiro #Escuta
Bancada Ativista;291;43;74;16;
RenovaBR;1561;137;192;103;#OBrasilTemJeito #FimDoForo #STF #NaoConfioEm #apagao #OuseEscolher
Mídia NINJA;372426;32114;1836;3797;#MariellePresente #EuSouLula #lulavalealuta #LulaValeALuta #maisamorporfavor #AndersonVive #CHILE #ForaTemer #França #DoisAnosDeGolpe #NovaYork #PareDeMatarGente #VOICEOFTHEPEOPLE #lula #SomosTodosLula #AbortoLegalYa #Itália #OcupaSaoBernado #Lula #VaiTerLuta #mariellepresente #LulaLuvre #LulaLIvre #Holanda #MarilleVive #LulaPeloBrasil #Washington #Aovivo #mariellevive #OPovoQuerLulaLivre #Suécia #AmanhecerporMarielleEAnderson #AoVivo #2anosdegolpe #MTST #eusoulula #LulapeloSul #NINJAaoVivo #intervençãoéfarsa #JamaisAprisionaraoNossosSonhos #EnMarcha #AHORA #ParemDeMatarGente #OPaísQueEuQuero #CinemaAoVivo #GolpeNuncaMais #FrenteContraOFascismo #Paris #AbrilIndígena #AtentadoContraDemocracia #ParemdeMatarGente #PatriaGrande #Austrália #frentecontraofascismo #Uruguai #ocupacuritiba #plantãoNINJA #NuncaMas #NovaIorque #LulapeloBrasil #ocupasaobernado #cadeasprovas #MarchForOurLives #Barcelona #OcupaCuritiba #AOVIVO #Lisboa #MarielleViver #TodosContraOFascismo #AndersonViver #PlantãoNINJA #MarielleFranco #EstadoDeExceção #LULALIVRE #Inglaterra #OldSchool #LulaLibre #NinjaAoVivo #LulaPeloSul #JamaisAprisionarãoNossosSonhos #OcupaSaoBernardo #DemocraciaVive #YankeeGoHome #CinemaPreto #DiaDeLaMemoria #lulaValealuta #liberélula #jamaisaprisionaraonossossonhos #LevanteEmDefesaDeLula #CanaDeAçucarNaAmazôniaNão #MariellenPresente #Tunísia #AndersonPresente #LulaValeALula #JamaisAprisionaraoNossoSonhos #WitnessTheTourRJ #EstadosUnidos #FavelaQuerPaz #RepresentatividadeImporta #ocupasaobernardo #Portugal #WhySyria #LulaLula #ATL2018 #AtentadoContraADemocracia #EuSoLula #AtentadoContraLula #lulalive #AtentadoContraADemocr #MariellePRESENTE #TerraLivre #lulalivre #GloboGolpista #BoulosResponde #EusouLula #FreeLula #PrayForSyria #ManifestoLiberdade #342Artes #Canadá #VamosComBoulosESonia #Argentina #lulafree #AoVivoA #Vamos2018 #LulaLivre #Suíça #LulaValeAluta #DoisANosDeGolpe #LuzesParaMarielle #URGENTE #MaisAmorPorFavor #EUA #AtentadoADemocracia #AmanhecerPorMarielleEAnderson #StopTheWar #Syria #PalestinaLivre #Lulalivre #ocupasãobernardo #20M #MarielleVive #TimeLife #OcupaSãoBernardo #MAriellePresente #aovivo #OcupaSãoBernado #Suiça #MarielleIVive #Espanha
342 Artes;1460;75;1;5;#342Agora #342ComMarielle #MariellePresente #AndersonPresente #Queermuseu #MarielleVive #QueroReiDaVelaNoRio #CacoCiocler #HenriqueVieira #PastorHenriqueVieira #ParqueLage #OReiDaVela #342Artes #Movimento342 #EuQueroQueer
MTST;27497;10602;48;26;#MTST #Vamos2018 #LulaLivre #OcupaSãoBernardo #lulalivre #AoVivo
MST Oficial;87166;14683;261;466;#EuSouLula #MariellePresente #BrasildeFato #LulaValeALuta #TemerELimaCorruptos #JornadadeLutas #ReformaAgráriaJa #DiaMundialDaÁgua #17abril #OcupaSaoBernado #LulaValeaLuta #VemPraMarcha #EuApoioReformaAgraria #LulaLIvre #SolidaridadMarielle #MarilleVive #LulaPeloBrasil #VemproFAMA #mulherespelaágua #OPovoQuerLulaLivre #LulaLIvreJá #AoVivo #LulapeloSul #JornadadeLuta #ÁguaÉUmDireito #ReformaAgrária #AtentadoContra #LulaValeLuta #PatriaGrande #SolidariedadeInternacional #DemocratizeJá #LulapeloBrasil #DemarcaçãoJá #OcupaCuritiba #AOVIVO #FAMA2018 #Lula2018 #RádiosMST #LULALIVRE #ReformaAgrariaJa #MulheresPelaAgua #ENFOTOS #LulaPeloSul #JamaisAprisionarãoNossosSonhos #OcupaSaoBernardo #AtentandoContraADemocracia #reformaagrária #LuttesPaysannes #JamaisPoderaoAprisionarNossosSonhos #AguaéDireito #ReformaAgráriaJá #feiradareformaagrária #reformaagraria #DitaduraNuncaMais #Fama2018 #LulaValeALula #FeiradaReformaAgraria #17Abril #AtentadoContraADemocracia #AtentadoContraLula #Lulafree #lulalivre #30diasporMarielle #Brasil #FreiHenriVive #EuVouPraFeiradaReformaAgraria #LulaInocente #30DiasPorMarielle #PeasantsRightsNow #AtentadosContraADemocracia #LutarSempre #Abril17 #MoroGolpista #JamaisPoderãoAprisionarNossosSonhos #LaViaCampesina #LulaLivreJá #LulaLivre #CubaSoberaníaAlimentaria #LulaFree #EldoradoDosCarajás #URGENTE #MulherespelaÁgua #BastaDeViolência #Lulalivre #LULAVALEALUTA #FeiraNacionaldaReformaAgrária #JuventudeSemTerra #MarielleVive #PadreAmaroLivre #VemproFAM #OcupaSãoBernardo #FeiradaReformaAgrária #OcupaSãoBernado #MulheresPelaÁgua #ÁguaéDireito #ReformaAgrariaJá 
MPL - São Paulo;5758;3220;163;193;
UNE;64496;19212;648;1701;#MariellePresente #LulaValeALuta #uee #UNEVolante #AndersonPresente #LulaLivre #8EME #tcc #LulaValeaLuta #Enem2018 #amor #LulaLIvre #love #lulalivre #Lulavalealuta #une #mg #DonaIvone #namorados #MarielleVive #OcupaSaoBernardo #OcupaSãoBernardo #SOSFUTURO #EMEUNE
CUT Brasil;55720;17998;865;3326;#EuSouLula #eusoulula #MG #LulaValeALuta #JamaisAprisionaraoNossosSonhos #FrenteContraOFascismo #SP #PLdoExtermínio #Tuiuti #ApagãoNorte #TradeUnions #LulaLivre #JamaisAprisionaraoNossoSonhos #LulaPeloRS #PatriaGrande #PortalCUT #Apagão #EmbajadaBrasil #JusticiaparaMarielle #AtentadoContraADemocracia #ApagãoNordeste #AtentadoContraLula #DeuRuim #OcupaCuritiba #LulapelosSul #LulaLIvre #LulaPeloPR #lulalivre #GloboGolpista #Lulalivre #MarielleFranco #socialdialogue #LulaPeloBrasil #Acampamento #MulheresPelaAgua #LulaPeloSul #OcupaSaoBernardo #AtentadosContraADemocracia #OcupaSãoBernardo #Singer #MulheresPelaÁgua #GOLPE
Levante da Juventude;8431;9102;146;248;#EuSouLula #OcupaCeará #MariellePresente #LevanteNoEME #LulaValeALuta #LevanteNo8EME #JamaisAprisionaraoNossosSonhos #AguaéDireito #FakeNews #LulaLivre #PatriaGrande #LulaouLuto #OcupaSaoBernado #QuemMatouMarielle #LEVANTEno8EME #AtentadoContraADemocracia #DiaDaMentira #LulaValeaLuta #AtentadoContraLula #OcupaCuritiba #lulalivre #WinnieMandela #Golpe #LulaPeloBrasil #VemproFAMA #LulaInocente #8EMEdaUNE #LulaPeloSul #JamaisAprisionarãoNossosSonhos #OcupaSaoBernardo #1deabril #OcupaSãoBernardo #LulaPresidente #ditaduranuncamais
maismovimento;308;2390;233;104;#MariellePresente
UJS;21411;21028;2436;1835;#EuSouLula #LulaVive #MariellePresente #LulaValeALuta #ManuAoVivo #JamaisAprisionaraoNossosSonhos #UJSComManu #PARIS #equipe #FrenteContraOFascismo #MulheresNoPoder #SP #GolpeNuncaMais #DeQuemÉoTriplex #EquipeCarina #LulaValeALula #LulaLivre #LulaValeAluta #JuizDeFora #OcupemSaoBernardo #LulaPresoPolitico #ENEM2018 #SomosTodosLula #PortoAlegre #comosupremocomtudo #UJSBrasil #JamaisAprisonaraoNossosSonhos #AtentadoContraADemocracia #Lula #OcupaOpoder #OcupemSãoBernardo #tbt #ComOSupremoComTudo #STF #ManuEmCuiabáAudiência #MariellePRESENTE #CarinaNoPanico #lulalivre #Lulavalealuta #SãoPaulo #ManuPeloBrasil #OcupaOTriplex #Lulalivre #UJSNoMackenzie #MarielleFranco #LULALIVRE #SouLula #LULAVALEALUTA #Resistência #VaiDino #MarielleVive #LulaLibre #OcupaOPoder #TodosSomosLula #8EMEdaUNE #ManifestoLiberdade #LulaUmaIdeia #JamaisAprisionarãoNossosSonhos #OcupaSaoBernardo #OcupaSãoBernardo #UJS_Brasil #OPovoQuerLulaLivre #LulaPeloSul #AGORA #Manu2018
UJR Brasil;133;27;70;15;
